wall_angle,num_moves,vertical_gain,horizontal_movement,average_move_distance,max_move_distance,direction_changes,average_hand_hold_size,min_hand_hold_size,foothold_ratio,crimp_count,sloper_count,avg_hold_difficulty,difficulty_score,grade
40,8,279.4,292.0,57.1,80.2,2,9.8,3.2,0.5,4,3,0.57,5.32,V5
40,10,237.1,302.1,43.5,80.5,5,10.2,3.4,0.42,6,4,0.667,6.84,V6
40,8,265.3,264.1,53.2,85.3,3,10.2,3.2,0.5,5,3,0.65,6.01,V5
40,5,235.6,155.3,64.9,82.8,1,10.0,4.5,0.57,3,2,0.586,4.79,V4
40,9,261.7,408.4,57.2,87.6,5,13.0,5.1,0.45,2,4,0.427,6.24,V6
40,7,225.2,281.6,54.0,83.3,3,11.2,3.2,0.44,3,3,0.533,5.52,V5
40,5,242.4,175.1,68.0,88.0,3,11.0,4.7,0.57,2,2,0.471,5.38,V5
40,5,217.0,269.2,77.9,82.5,2,9.5,3.5,0.43,3,3,0.657,5.9,V5
40,6,267.6,268.1,69.1,80.3,2,11.2,4.5,0.5,3,3,0.588,5.31,V5
40,6,256.9,147.8,44.5,63.3,3,11.1,3.4,0.5,2,3,0.487,4.41,V4
40,7,236.0,361.7,66.9,89.0,5,10.3,4.1,0.44,4,3,0.622,7.09,V6
40,6,245.6,302.0,67.7,88.6,3,13.6,3.2,0.5,1,3,0.388,5.14,V5
40,5,217.3,184.1,62.4,74.0,3,14.0,4.4,0.43,1,3,0.429,4.69,V4
40,6,263.6,143.1,54.8,87.3,3,11.8,4.7,0.62,3,2,0.525,5.22,V5
40,5,229.3,251.7,72.0,88.9,3,8.8,3.5,0.43,3,0,0.443,5.79,V5
40,9,255.2,417.3,61.0,88.1,4,11.0,3.3,0.45,4,4,0.573,6.53,V6
40,7,213.2,333.4,63.9,84.0,2,9.9,3.6,0.44,4,2,0.567,5.55,V5
40,7,214.7,313.0,59.5,87.8,5,10.9,3.7,0.56,4,3,0.622,6.68,V6
40,5,264.6,148.0,64.1,84.8,2,11.6,4.4,0.57,2,2,0.471,4.76,V4
40,6,215.8,250.2,61.8,88.4,2,9.1,3.3,0.62,4,2,0.625,5.51,V5
40,8,226.8,273.4,49.2,75.4,3,9.9,3.3,0.5,4,4,0.62,5.56,V5
40,6,225.0,205.4,57.5,84.9,4,11.5,3.3,0.62,1,1,0.263,4.84,V4
40,9,267.8,496.2,68.4,87.6,3,11.3,3.4,0.45,4,4,0.573,6.24,V6
40,9,218.1,372.0,54.9,81.5,4,12.7,3.7,0.64,3,6,0.591,5.84,V5
40,5,278.3,162.3,68.9,86.5,3,9.8,4.4,0.57,3,3,0.657,6.01,V5
40,5,249.6,115.6,55.7,89.8,4,14.5,11.7,0.57,0,4,0.386,5.05,V5
40,5,226.7,126.9,59.6,87.2,1,14.1,10.8,0.43,0,4,0.386,4.09,V4
40,9,244.8,338.5,52.7,71.3,3,8.7,3.3,0.55,6,2,0.627,5.65,V5
40,7,218.7,303.1,69.1,89.9,3,10.0,3.2,0.78,4,2,0.567,5.71,V5
40,6,257.6,203.2,59.3,80.6,2,13.5,5.3,0.62,1,4,0.45,4.34,V4
40,7,233.7,257.3,62.7,88.1,3,13.5,5.6,0.44,1,4,0.411,5.29,V5
40,7,269.3,220.9,57.4,82.5,4,8.1,3.4,0.56,5,1,0.6,6.24,V6
40,5,249.6,202.6,68.8,87.4,1,14.2,5.6,0.43,1,3,0.429,4.4,V4
40,7,261.7,265.4,55.5,87.1,4,11.6,3.9,0.22,3,2,0.478,6.2,V6
40,7,254.3,253.0,54.7,89.2,2,9.0,3.7,0.44,5,1,0.6,5.69,V5
40,5,216.6,211.5,69.4,89.8,3,12.2,3.4,0.71,2,2,0.471,5.15,V5
40,5,259.6,142.6,64.2,78.8,2,9.1,3.2,0.43,3,0,0.443,4.9,V4
40,5,243.2,119.5,63.9,84.2,0,9.8,3.2,0.43,3,1,0.514,4.42,V4
40,6,258.3,200.3,59.9,86.0,2,9.3,3.2,0.5,4,2,0.625,5.56,V5
40,5,243.9,149.6,59.3,80.6,1,11.7,5.5,0.43,3,2,0.586,4.68,V4
40,8,255.9,344.7,58.9,89.8,3,10.7,5.0,0.4,4,1,0.47,5.83,V5
40,5,264.1,68.9,54.2,82.9,1,14.2,5.6,0.43,1,2,0.357,3.76,V3
40,6,272.5,306.0,73.0,87.4,3,12.7,5.2,0.38,2,5,0.613,6.13,V6
40,6,264.0,156.8,57.6,83.8,2,10.3,3.3,0.62,3,2,0.525,4.89,V4
40,8,262.2,349.0,56.0,76.8,3,10.3,3.3,0.4,4,3,0.57,5.71,V5
40,8,273.6,283.9,54.9,82.6,3,11.8,3.2,0.5,3,4,0.54,5.5,V5
40,5,257.6,239.7,70.3,84.1,3,11.0,4.4,0.43,2,2,0.471,5.52,V5
40,7,218.4,279.5,61.7,84.8,6,9.3,3.4,0.44,5,3,0.711,7.61,V7
40,5,252.6,128.8,63.5,88.1,2,13.1,5.2,0.57,2,4,0.614,5.15,V5
40,6,274.9,331.8,76.8,89.3,2,9.7,3.2,0.5,4,2,0.625,5.96,V5
40,5,212.4,120.8,62.0,83.9,2,11.9,4.1,0.43,2,2,0.471,4.87,V4
40,6,245.4,238.9,65.7,75.8,3,14.3,5.5,0.62,1,5,0.512,4.85,V4
40,8,223.6,285.8,49.6,80.8,7,12.2,3.2,0.3,2,3,0.41,6.82,V6
40,5,224.6,155.3,61.4,77.1,2,12.2,3.2,0.43,2,3,0.543,4.85,V4
40,8,259.5,202.7,46.4,84.4,3,10.3,3.4,0.4,4,3,0.57,5.75,V5
40,7,233.6,319.0,62.0,87.9,3,10.6,3.2,0.56,3,3,0.533,5.69,V5
40,5,252.9,166.5,63.5,84.1,4,11.9,4.4,0.43,1,4,0.5,5.8,V5
40,8,215.0,266.2,50.7,79.0,3,10.9,3.5,0.4,4,4,0.62,5.77,V5
40,5,232.8,225.0,74.0,86.2,2,11.2,3.9,0.43,2,1,0.4,5.03,V5
40,5,255.6,149.7,61.0,84.1,2,9.2,3.4,0.43,3,2,0.586,5.42,V5
40,7,234.8,284.2,58.2,81.4,2,11.3,4.5,0.56,3,4,0.589,5.13,V5
40,6,215.1,301.1,69.4,89.5,4,13.9,5.5,0.5,1,3,0.388,5.57,V5
40,6,237.2,216.8,56.5,75.2,3,13.0,4.5,0.62,1,3,0.388,4.38,V4
40,5,248.2,114.0,55.8,70.7,3,11.4,3.2,0.43,2,3,0.543,5.01,V5
40,5,224.0,179.8,72.2,87.3,2,10.7,4.4,0.57,3,3,0.657,5.62,V5
40,8,241.7,284.1,50.4,67.4,6,13.9,5.5,0.6,1,4,0.38,5.36,V5
40,6,230.3,231.7,63.4,80.3,1,12.1,4.4,0.5,2,4,0.55,4.61,V4
40,8,272.5,477.9,71.2,90.0,2,12.9,4.3,0.5,2,6,0.56,5.62,V5
40,8,252.0,266.5,50.5,83.8,1,11.8,3.4,0.5,2,3,0.41,4.26,V4
40,8,229.1,306.1,49.5,68.1,4,12.2,4.4,0.5,3,4,0.54,5.33,V5
40,6,218.5,178.9,53.9,81.7,2,10.8,3.2,0.38,3,2,0.525,5.07,V5
40,5,259.9,181.3,65.7,75.6,1,10.4,3.6,0.57,3,2,0.586,4.55,V4
40,6,255.6,198.5,61.5,88.7,1,11.1,3.4,0.5,2,4,0.55,4.9,V4
40,8,257.2,326.0,55.2,88.6,6,10.6,3.3,0.5,4,4,0.62,7.22,V6
40,5,220.9,185.8,60.2,80.9,3,11.2,3.6,0.43,2,1,0.4,4.99,V4
40,7,268.3,291.4,56.1,85.8,2,11.9,3.3,0.44,3,5,0.644,5.52,V5
40,5,221.8,208.1,75.3,89.3,1,7.1,3.9,0.57,5,0,0.671,5.68,V5
40,5,268.0,190.6,66.2,76.8,2,6.6,3.2,0.43,5,0,0.671,5.77,V5
40,7,227.5,221.7,54.4,84.2,2,12.9,4.8,0.33,1,3,0.356,4.65,V4
40,5,237.1,80.5,57.6,79.4,1,9.8,4.5,0.71,4,2,0.7,4.69,V4
40,9,240.6,328.9,49.9,85.1,7,13.6,5.9,0.45,1,8,0.536,7.1,V6
40,5,252.6,176.9,59.1,78.3,2,14.0,5.0,0.43,1,2,0.357,4.14,V4
40,6,226.2,252.9,64.9,87.1,4,12.3,5.2,0.62,1,1,0.263,4.99,V4
40,8,249.8,448.9,65.6,82.9,2,9.2,3.2,0.5,6,3,0.73,6.1,V5
40,6,262.8,281.9,69.3,85.1,2,11.1,5.0,0.62,3,3,0.588,5.29,V5
40,5,253.3,135.5,59.6,84.8,3,12.2,4.4,0.57,2,2,0.471,5.02,V5
40,6,209.4,177.0,57.4,87.6,2,11.4,3.3,0.38,3,4,0.65,5.64,V5
40,6,251.3,245.7,62.5,83.3,2,7.3,4.8,0.5,6,1,0.763,6.1,V5
40,8,258.3,311.5,50.8,80.3,3,11.9,3.2,0.3,4,4,0.62,5.88,V5
40,6,214.2,297.4,67.5,89.3,3,10.1,3.3,0.38,3,2,0.525,6.03,V5
40,6,256.3,252.5,67.1,86.6,2,10.0,4.1,0.5,4,3,0.688,5.85,V5
40,7,240.8,342.9,65.0,82.3,3,10.8,3.4,0.56,4,2,0.567,5.67,V5
40,5,236.0,134.7,55.4,79.2,2,9.9,3.3,0.71,3,2,0.586,4.69,V4
40,9,291.0,414.3,61.1,86.4,3,12.7,3.2,0.45,2,6,0.518,5.78,V5
40,6,252.6,155.0,57.8,87.9,2,7.7,3.4,0.5,5,2,0.725,6.0,V5
40,7,230.2,310.6,58.7,77.1,4,10.5,3.4,0.33,4,3,0.622,6.32,V6
40,9,262.4,303.6,47.5,78.4,5,12.7,5.3,0.45,4,7,0.709,6.64,V6
40,5,224.0,163.6,61.4,85.6,3,11.6,4.4,0.43,2,3,0.543,5.55,V5
40,5,248.1,110.1,56.2,77.4,2,10.9,4.4,0.57,3,1,0.514,4.56,V4
40,8,276.6,319.8,53.5,84.1,3,12.3,3.2,0.4,2,6,0.56,5.69,V5
40,7,232.0,270.2,61.2,80.2,2,9.2,3.4,0.56,5,1,0.6,5.35,V5
40,5,243.8,159.3,59.1,72.5,3,14.3,5.6,0.57,1,3,0.429,4.35,V4
40,8,249.6,338.4,58.1,84.0,4,12.8,4.1,0.5,3,5,0.59,6.08,V5
40,7,215.1,224.3,47.7,75.8,6,12.1,4.1,0.44,3,3,0.533,6.3,V6
40,8,259.1,412.4,63.8,89.6,4,11.4,4.4,0.5,4,4,0.62,6.56,V6
40,5,272.6,183.3,75.0,89.7,3,13.9,4.4,0.29,1,4,0.5,5.84,V5
40,5,259.9,249.7,80.3,88.6,2,9.0,4.3,0.57,4,1,0.629,5.88,V5
40,5,263.6,204.1,65.4,89.6,1,8.0,3.2,0.57,4,1,0.629,5.29,V5
40,5,239.8,99.4,56.2,78.0,2,12.7,4.9,0.57,1,4,0.5,4.39,V4
40,6,255.2,317.1,71.6,82.7,2,11.3,5.1,0.5,3,3,0.588,5.42,V5
40,5,243.1,221.1,71.0,82.2,2,13.8,5.6,0.43,2,5,0.686,5.49,V5
40,7,272.5,192.4,51.2,71.9,5,10.3,3.4,0.33,4,5,0.733,6.76,V6
40,6,220.0,307.2,72.6,86.3,3,11.2,3.6,0.75,3,2,0.525,5.4,V5
40,6,262.7,257.6,65.0,80.9,2,11.5,4.1,0.5,3,3,0.588,5.22,V5
40,7,239.0,362.2,68.5,86.6,2,14.5,11.0,0.44,0,3,0.267,4.45,V4
40,7,215.3,279.2,61.2,84.5,3,10.1,3.2,0.44,4,4,0.678,6.23,V6
40,5,263.0,188.9,70.3,88.9,1,8.3,3.3,0.71,4,2,0.7,5.34,V5
40,8,223.6,368.9,59.6,89.9,4,11.1,3.3,0.5,3,2,0.44,5.97,V5
40,7,259.7,207.5,51.3,86.8,4,13.1,4.3,0.67,1,5,0.467,5.28,V5
40,5,249.8,66.5,55.2,83.7,2,11.0,3.2,0.71,2,3,0.543,4.6,V4
40,11,255.2,414.3,47.7,82.8,5,10.4,3.4,0.38,4,2,0.423,6.41,V6
40,6,253.0,191.1,63.1,88.3,3,12.3,3.5,0.5,3,4,0.65,5.93,V5
40,6,238.8,206.2,57.7,85.4,2,10.2,5.2,0.5,4,2,0.625,5.43,V5
40,5,221.1,192.2,63.0,89.0,1,9.6,3.2,0.43,3,2,0.586,5.18,V5
40,9,267.2,433.2,60.3,85.5,4,10.8,3.6,0.27,3,3,0.455,6.37,V6
40,7,267.4,237.9,55.2,69.1,1,13.1,3.2,0.44,2,3,0.444,3.9,V4
40,6,258.4,271.4,69.2,85.4,4,12.6,5.3,0.5,2,2,0.425,5.66,V5
40,5,232.5,106.9,56.2,84.8,2,13.8,3.3,0.43,2,3,0.543,4.85,V4
40,5,247.5,257.7,72.0,89.7,3,13.6,4.4,0.29,1,5,0.571,6.02,V5
40,8,216.3,265.2,50.8,80.0,5,12.3,4.4,0.5,3,6,0.64,6.4,V6
40,7,246.7,229.4,54.6,85.9,5,10.6,5.1,0.33,4,2,0.567,6.73,V6
40,9,220.3,253.8,44.0,64.3,4,10.0,3.6,0.36,5,2,0.555,5.63,V5
40,5,259.9,99.4,64.1,81.2,3,11.1,4.0,0.57,3,3,0.657,5.65,V5
40,7,215.6,225.3,50.0,84.8,3,10.9,3.9,0.56,3,3,0.533,5.33,V5
40,6,261.2,271.6,71.5,89.4,1,11.2,3.2,0.62,3,3,0.588,5.05,V5
40,7,267.5,233.9,59.5,88.4,4,12.3,3.2,0.44,2,5,0.556,6.17,V6
40,12,264.0,421.1,44.4,87.9,5,12.5,3.6,0.43,4,6,0.543,6.71,V6
40,6,234.6,202.7,58.1,80.8,2,12.3,5.5,0.5,2,4,0.55,4.9,V4
40,5,248.0,113.1,58.3,87.1,2,9.8,3.2,0.43,4,3,0.771,5.96,V5
40,7,271.2,273.6,60.0,79.6,5,12.0,3.5,0.44,2,3,0.444,6.0,V5
40,8,276.0,267.1,49.4,79.0,2,12.8,3.2,0.4,3,4,0.54,4.95,V4
40,9,255.4,300.1,48.7,88.6,6,12.1,3.2,0.64,3,5,0.545,6.64,V6
40,9,265.4,312.0,48.7,79.5,6,11.4,4.1,0.64,3,4,0.5,6.29,V6
40,5,241.3,195.5,63.7,84.1,2,11.3,4.5,0.43,2,2,0.471,4.96,V4
40,5,267.6,173.1,63.4,74.4,1,12.5,4.5,0.43,1,3,0.429,4.04,V4
40,8,255.8,209.0,48.1,89.8,5,11.7,4.0,0.4,3,4,0.54,6.54,V6
40,5,265.4,183.1,77.3,89.2,2,14.7,5.3,0.71,1,4,0.5,4.78,V4
40,7,254.6,264.8,56.0,86.8,4,12.6,3.3,0.33,2,4,0.5,6.02,V5
40,7,282.0,366.7,71.8,85.6,2,12.5,3.4,0.44,3,4,0.589,5.61,V5
40,5,270.7,215.7,74.8,87.6,3,13.5,5.1,0.43,1,4,0.5,5.6,V5
40,5,250.0,203.1,64.3,74.4,2,12.3,3.5,0.57,2,4,0.614,4.82,V4
40,6,237.1,172.1,55.0,82.9,3,11.8,3.6,0.62,2,4,0.55,5.16,V5
40,7,241.4,262.0,58.6,89.0,2,12.3,3.4,0.67,1,3,0.356,4.42,V4
40,6,257.8,265.5,66.9,89.8,1,11.5,4.1,0.5,3,4,0.65,5.31,V5
40,8,253.8,337.8,60.4,85.7,3,12.4,5.2,0.6,2,3,0.41,5.12,V5
40,8,244.0,407.4,63.6,89.4,5,12.3,3.3,0.3,3,4,0.54,6.94,V6
40,6,222.1,236.0,61.5,85.0,3,11.8,3.2,0.5,3,4,0.65,5.84,V5
40,7,226.5,265.4,58.1,74.5,3,15.0,10.8,0.56,0,5,0.378,4.39,V4
40,9,274.9,347.5,55.7,81.6,3,11.5,3.2,0.45,4,3,0.527,5.65,V5
40,6,270.7,204.5,64.4,88.9,2,11.0,3.4,0.62,4,3,0.688,5.61,V5
40,5,212.4,130.4,55.2,66.3,2,10.2,3.5,0.43,3,2,0.586,4.69,V4
40,6,255.1,142.8,50.0,75.8,4,8.6,3.2,0.5,5,2,0.725,6.21,V6
40,10,233.6,364.1,47.9,88.9,4,10.3,3.2,0.5,4,5,0.575,6.38,V6
40,6,252.6,393.1,77.8,89.8,4,11.5,3.5,0.5,2,2,0.425,6.05,V5
40,7,284.7,198.5,55.8,82.8,4,12.8,3.4,0.44,2,4,0.5,5.72,V5
40,7,234.4,298.5,56.7,84.8,3,13.1,3.2,0.33,1,5,0.467,5.44,V5
40,7,257.4,187.0,51.0,87.3,5,10.8,4.0,0.44,2,2,0.389,5.98,V5
40,6,263.2,280.3,67.4,88.2,3,14.1,4.8,0.5,1,5,0.512,5.45,V5
40,5,245.6,153.0,57.3,86.2,2,13.8,5.9,0.57,1,2,0.357,4.14,V4
40,6,238.2,123.0,50.6,90.0,2,12.0,5.3,0.75,1,4,0.45,4.38,V4
40,6,259.1,197.4,58.8,83.6,2,11.5,4.1,0.75,3,3,0.588,4.8,V4
40,6,238.8,148.3,52.5,86.0,3,12.9,5.5,0.5,2,4,0.55,5.3,V5
40,7,242.4,233.6,48.7,78.4,2,9.5,4.1,0.33,5,2,0.656,5.54,V5
40,5,238.1,186.2,62.1,86.6,1,13.9,3.2,0.43,2,4,0.614,4.83,V4
40,7,279.4,320.1,59.7,87.6,2,9.2,3.3,0.44,4,1,0.511,5.46,V5
40,5,250.3,167.4,57.5,72.4,2,10.4,3.7,0.57,3,3,0.657,4.91,V4
40,5,255.3,169.4,64.1,82.3,2,9.1,4.1,0.43,3,0,0.443,5.01,V5
40,5,226.2,199.3,71.3,88.4,3,11.6,5.5,0.43,1,1,0.286,5.06,V5
40,5,283.2,125.9,60.4,89.1,4,8.0,3.4,0.57,4,2,0.7,6.59,V6
40,5,243.8,206.7,69.1,84.9,3,11.5,4.4,0.43,3,2,0.586,5.82,V5
40,5,257.4,143.5,59.4,88.2,2,15.4,12.2,0.43,0,5,0.457,4.63,V4
40,6,239.3,125.7,50.7,80.3,2,11.2,4.5,0.62,3,2,0.525,4.57,V4
40,9,261.8,430.2,59.4,87.4,4,10.0,3.2,0.55,5,4,0.645,6.62,V6
40,8,252.6,380.4,59.5,85.9,2,10.4,3.5,0.5,4,2,0.52,5.35,V5
40,7,211.5,199.0,47.9,74.7,4,11.7,3.7,0.56,2,2,0.389,4.89,V4
40,6,238.1,210.9,57.6,80.3,3,10.8,4.5,0.5,3,2,0.525,5.32,V5
40,5,233.2,91.3,61.7,80.3,2,13.3,4.6,0.57,1,4,0.5,4.52,V4
40,5,238.2,120.6,60.3,83.2,2,14.2,10.3,0.43,0,4,0.386,4.38,V4
40,7,247.2,179.3,50.8,82.7,3,7.7,3.4,0.44,6,2,0.744,6.35,V6
40,6,249.1,129.9,49.6,83.8,4,8.8,3.2,0.62,4,1,0.562,5.76,V5
40,6,240.6,325.5,76.0,88.3,1,10.8,4.1,0.62,3,3,0.588,5.14,V5
40,6,239.3,149.3,56.7,82.2,2,15.1,4.1,0.5,1,5,0.512,4.58,V4
40,5,226.8,167.5,66.5,86.4,1,13.6,5.6,0.57,1,4,0.5,4.38,V4
40,5,244.4,145.1,61.8,72.4,3,10.2,3.7,0.57,3,1,0.514,4.98,V4
40,6,273.1,213.1,68.4,85.1,2,12.3,3.3,0.25,1,3,0.388,5.13,V5
40,8,248.2,332.1,60.7,82.9,5,12.8,4.6,0.6,2,4,0.46,5.96,V5
40,6,268.3,266.1,71.6,87.8,3,10.6,3.2,0.5,3,3,0.588,6.03,V5
40,5,261.7,121.1,57.3,85.1,1,12.2,5.1,0.43,1,1,0.286,3.84,V3
40,5,286.9,138.4,58.4,87.6,3,11.6,3.2,0.43,2,3,0.543,5.55,V5
40,8,239.3,216.1,44.4,77.4,4,12.8,5.0,0.5,2,5,0.51,5.37,V5
40,5,258.3,216.3,71.2,88.4,1,13.0,4.5,0.43,2,2,0.471,4.7,V4
40,8,255.9,395.3,60.4,79.3,2,11.3,3.6,0.4,3,3,0.49,5.15,V5
40,5,249.7,219.3,65.8,88.2,4,13.1,3.9,0.57,2,4,0.614,6.0,V5
40,7,246.7,268.1,59.6,81.1,4,9.8,3.3,0.44,4,1,0.511,6.01,V5
40,5,265.4,95.1,54.2,74.9,3,14.1,4.6,0.43,1,2,0.357,4.33,V4
40,6,211.4,148.5,50.2,89.1,2,10.9,4.4,0.5,3,3,0.588,5.22,V5
40,8,265.3,407.7,61.4,86.1,5,9.9,3.3,0.3,5,2,0.6,7.17,V6
40,8,253.5,281.0,51.7,82.4,5,9.7,3.2,0.6,5,1,0.55,6.28,V6
40,6,255.2,219.1,61.8,88.8,1,11.1,3.5,0.5,3,4,0.65,5.21,V5
40,5,259.5,186.1,69.0,84.1,2,11.5,3.6,0.57,3,3,0.657,5.4,V5
40,6,226.1,179.2,58.4,89.1,0,11.5,4.3,0.5,2,2,0.425,4.05,V4
40,6,234.8,188.9,54.1,81.8,3,12.2,3.2,0.5,2,3,0.487,5.07,V5
40,6,267.8,228.0,64.9,86.2,2,10.8,3.4,0.38,3,3,0.588,5.61,V5
40,7,255.8,160.5,45.6,59.6,5,10.6,3.9,0.44,3,3,0.533,5.49,V5
40,8,233.4,220.1,48.3,84.2,3,9.8,3.4,0.7,5,3,0.65,5.61,V5
40,7,230.6,278.8,56.7,75.2,4,10.6,3.5,0.44,3,2,0.478,5.62,V5
40,7,214.2,250.2,52.8,80.1,3,14.3,5.6,0.56,1,4,0.411,4.61,V4
40,5,219.9,86.6,54.7,82.2,2,11.2,4.1,0.57,3,2,0.586,4.87,V4
40,8,257.2,325.4,59.9,82.1,3,11.8,3.5,0.5,3,4,0.54,5.59,V5
